实际值	预测值
1	1.0231962649261814
1	1.1188100756511503
1	1.0202297931250783
1	0.9823469311963893
1	1.0745904314920462
1	1.056920233358154
1	1.0421754001136265
1	1.0456248137451551
1	1.0260925457622547
1	0.9889539460983214
1	0.9838931736102499
1	1.1275519518419428
1	0.9977296566944156
1	1.1565632281420684
1	1.0198324199384416
1	0.971708233103816
1	1.1234528170063058
1	1.0561388198019737
1	0.9864598651797319
1	1.0541446416663496
1	1.0252226757151455
1	0.9918919089278898
1	1.090713181673781
1	1.065107900151975
1	1.0132999579198674
1	0.9730764028745738
1	0.9889083757625297
1	1.1309132732511509
1	1.0872792544857335
1	1.0082555791596008
1	1.0735443654872312
1	1.000691073051738
1	1.0029317637485144
1	1.0225369946468197
1	1.1042548266794858
1	1.0541560408328006
1	1.09839921432206
1	0.9445409947605521
1	1.1244528515963972
1	1.1109792955249862
1	0.9728262757165206
1	1.0022914082430898
1	1.0131172218717683
1	1.1103484022692558
1	1.0751557356203563
2	1.3671684676073192
1	0.9927485089636165
1	1.11007113388386
1	0.9164120737475941
1	1.1962971600430332
1	1.0013494475640972
1	0.9900372491155521
1	0.8778355583772478
1	1.0694809396854505
1	1.1383404201203278
1	0.9650416704558029
1	1.0024628049507114
1	0.994741881228772
2	1.0746846295136958
1	0.9814865183518384
1	0.9298865279426046
1	0.9884213023791786
1	1.0672537785408116
1	1.0657155550786659
